predict_value,currect_value
8999.0,12000.0
65000.0,1370000.0
9800.830038587641,5000.0
9999.0,20000.0
37530.0,28000.0
18526.915655993987,30000.0
37530.0,60000.0
9800.830038587641,5000.0
21000.0,25000.0
13999.0,19000.0
9800.830038587641,20000.0
37470.0,50000.0
37530.0,22000.0
36000.0,25000.0
18526.915655993987,25000.0
9800.830038587641,18000.0
37470.0,24000.0
36000.0,36000.0
9999.0,15000.0
39000.0,33000.0
10590.057212495834,10000.0
18526.915655993987,23800.0
38000.0,28000.0
9800.830038587641,7999.0
36000.0,20000.0
37530.0,30000.0
9800.830038587641,7900.0
22000.0,21000.0
9800.830038587641,12000.0
65000.0,85000.0
18526.915655993987,26000.0
22000.0,38000.0
21000.0,22000.0
37530.0,42000.0
22000.0,26000.0
65000.0,210000.0
9800.830038587641,8800.0
37530.0,88000.0
65000.0,150000.0
9800.830038587641,8000.0
36000.0,23000.0
9800.830038587641,10000.0
21000.0,24000.0
37530.0,70000.0
36000.0,35000.0
17399.875028757448,26000.0
17399.875028757448,18500.0
21000.0,20000.0
37530.0,22000.0
9800.830038587641,5800.0
9800.830038587641,9500.0
65000.0,1480000.0
21000.0,35000.0
65000.0,85000.0
8999.0,23000.0
17399.875028757448,23000.0
21000.0,33000.0
17399.875028757448,45000.0
21000.0,16000.0
9800.830038587641,8000.0
36000.0,24000.0
39000.0,24000.0
21000.0,20000.0
21000.0,18000.0
22000.0,23000.0
21999.0,25000.0
21999.0,32000.0
22000.0,18000.0
9800.830038587641,5800.0
21000.0,30000.0
65000.0,45000.0
65000.0,70000.0
36000.0,50000.0
9800.830038587641,9500.0
65000.0,100000.0
9800.830038587641,5500.0
37530.0,40000.0
37530.0,68000.0
22000.0,23000.0
21999.0,30000.0
37530.0,82000.0
37530.0,35000.0
37470.0,20000.0
37530.0,1050000.0
36000.0,20000.0
10590.057212495834,25600.0
34100.0,24000.0
65000.0,75000.0
21000.0,26000.0
65000.0,90000.0
22000.0,25000.0
65000.0,85000.0
65000.0,1370000.0
22000.0,23000.0
17399.875028757448,18000.0
37530.0,39000.0
37470.0,38000.0
36000.0,24000.0
9800.830038587641,12000.0
37530.0,85000.0
9800.830038587641,6500.0
65000.0,66600.0
36000.0,21000.0
17399.875028757448,28000.0
37530.0,38000.0
65000.0,1380000.0
65000.0,58000.0
65000.0,96000.0
65000.0,85000.0
65000.0,68000.0
22000.0,35000.0
65000.0,60000.0
36000.0,31000.0
9800.830038587641,4800.0
39000.0,50000.0
21000.0,48000.0
37530.0,45000.0
21999.0,27000.0
36000.0,33000.0
65000.0,68000.0
65000.0,45000.0
12000.0,6500.0
37530.0,50000.0
17399.875028757448,27800.0
39000.0,45000.0
65000.0,65000.0
21999.0,30000.0
36000.0,38000.0
65000.0,120000.0
22000.0,40000.0
17399.875028757448,24500.0
37530.0,40000.0
22000.0,40000.0
21000.0,22000.0
36000.0,36000.0
22000.0,25000.0
21000.0,30000.0
21000.0,30000.0
38000.0,31000.0
65000.0,98000.0
65000.0,80000.0
36000.0,25000.0
65000.0,160000.0
65000.0,1220000.0
65000.0,97000.0
9800.830038587641,12000.0
